,graph_name,noBranchingapc,noBranching_time,noBranchingMathTime,noBranchingFirstHalfTime,(no)longest for getrgf,(no)longest time,noBranchingCase,noBranchingGamma
0,bead_sort_.bead_sort,0.369749676356311*1.29646623878369**n,5.233794450759888,0.10276222229003906,4.233521938323975,gammaTime,4.207,1.0,-T0 + x**2*(x**16 - 3*x**13 + 3*x**10 - x**7)/(x**19 + x**17 + x**15 + x**14 + 3*x**13 + 2*x**12 + 2*x**11 - 2*x**10 - 3*x**9 - 5*x**8 - x**7 - 2*x**6 + 2*x**5 + x**4 + 3*x**3 - 1)
1,binary_insertion_sort_.insertionSort,0.104279433436291*1.31757057715522**n,0.9183306694030762,0.06048846244812012,0.5639870166778564,gammaTime,0.557,1.0,(-T0*(x**9*(2*x + 1) - (x**2 - 1)*(2*x**5 - 1)) - x**3*(x**2 - 1)*(2*x**5 - 1))/(x**9*(2*x + 1) - (x**2 - 1)*(2*x**5 - 1))
2,bogo_sort_.bogo_sort,0.243026412699793*1.25114340025968**n,0.8180058002471924,0.05228757858276367,0.5009942054748535,gammaTime,0.497,1.0,(-T0*x**9*(x + 1) + (x**3 - 1)*(T0*(x**3 - 1) + x**7*(x + 1)))/(x**9*(x + 1) - (x**3 - 1)**2)
3,bubble_sort_.bubbleSort,0.417237987926219*1.21060779440609**n,1.0912580490112305,0.12233090400695801,0.48636937141418457,gammaTime,0.481,1.0,(-T0*(x**8 + x**6 + x**4 - 1) + x**3*(x**8 - 1))/(x**8 + x**6 + x**4 - 1)
4,bubble_sort_2_.bubble_sort,0.173947223947289*1.29064880134671**n,0.5962681770324707,0.05451178550720215,0.32950735092163086,gammaTime,0.326,1.0,(-T0*(x**5 + 2*x**4 - 1) + x**3*(x**5 + x**4 - 1))/(x**5 + 2*x**4 - 1)
5,bubble_sort_recursion_.bubbleSort,0.532705379942536*1.21060779440609**n,0.7714939117431641,0.052652597427368164,0.4158759117126465,gammaTime,0.412,1.0,(-T0*x**8 - T0*x**6 - T0*x**4 + T0 + x**11 + x**7 - x**5 - x**3)/(x**8 + x**4 - 1)
6,bucket_sort_.BucketSort,0.0041669339408508*1.39320507989707**n,50.679545402526855,0.2107701301574707,45.702391624450684,gammaTime,45.686,1.0,(-2*T0*x**41 - 5*T0*x**40 - 8*T0*x**39 - 12*T0*x**38 - 21*T0*x**37 - 29*T0*x**36 - 28*T0*x**35 - 21*T0*x**34 - 20*T0*x**33 - 9*T0*x**32 + 20*T0*x**31 + 51*T0*x**30 + 55*T0*x**29 + 52*T0*x**28 + 63*T0*x**27 + 59*T0*x**26 + 12*T0*x**25 - 33*T0*x**24 - 43*T0*x**23 - 41*T0*x**22 - 65*T0*x**21 - 68*T0*x**20 - 26*T0*x**19 + 10*T0*x**18 + 16*T0*x**17 + 19*T0*x**16 + 38*T0*x**15 + 37*T0*x**14 + 11*T0*x**13 - T0*x**12 - 8*T0*x**10 - 16*T0*x**9 - 11*T0*x**8 + T0*x**7 + T0*x**6 - 2*T0*x**5 + 2*T0*x**4 + 4*T0*x**3 + 2*T0*x**2 - T0*x - T0 + 2*x**26 + 3*x**25 + 2*x**24 - x**23 - x**22 + 4*x**21 + 2*x**20 - 4*x**19 - 5*x**18 - x**17 + 2*x**16 + x**15)/(2*x**41 + 5*x**40 + 8*x**39 + 12*x**38 + 21*x**37 + 29*x**36 + 28*x**35 + 21*x**34 + 20*x**33 + 9*x**32 - 20*x**31 - 51*x**30 - 55*x**29 - 52*x**28 - 63*x**27 - 59*x**26 - 12*x**25 + 33*x**24 + 43*x**23 + 41*x**22 + 65*x**21 + 68*x**20 + 26*x**19 - 10*x**18 - 16*x**17 - 19*x**16 - 38*x**15 - 37*x**14 - 11*x**13 + x**12 + 8*x**10 + 16*x**9 + 11*x**8 - x**7 - x**6 + 2*x**5 - 2*x**4 - 4*x**3 - 2*x**2 + x + 1)
7,cocktail_sort_.cocktailSort,0.173608633704986*1.30592340577239**n,1.9042847156524658,0.06701087951660156,1.1721999645233154,gammaTime,1.167,1.0,(-T0*(x**9 + 3*x**8 + 4*x**7 + 3*x**6 + 3*x**5 + x**4 - x**3 - x**2 - x - 1) + x**3*(x**9 + 2*x**8 + 2*x**7 + 2*x**6 + 2*x**5 - x**3 - x**2 - x - 1))/(x**9 + 3*x**8 + 4*x**7 + 3*x**6 + 3*x**5 + x**4 - x**3 - x**2 - x - 1)
8,comb_sort_.sort,0.128204331859379*1.35320996419932**n,0.5619926452636719,0.03661227226257324,0.3265995979309082,gammaTime,0.324,1.0,(-T0*(2*x**4 + x**3 - 1) + x**3*(x**4 + x**3 - 1))/(2*x**4 + x**3 - 1)
9,counting_sort_.main,1.06732724481572*1.24874608115598**n,1.576875925064087,0.07612848281860352,0.9963343143463135,gammaTime,0.991,1.0,-T0 + x**7*(x + 1)/(x**14 + x**13 + x**10 + 2*x**9 + 3*x**8 + x**7 - x**6 - 3*x**5 - 3*x**4 - x**3 + x + 1)
